compound_id,amine_type,substituent,position,solvent,temperature,time_h,catalyst,catalyst_loading_mol_pct,yield_pct,novel
16,benzylamine,none,none,MeOH,r.t.,1,none,0,33,no
18,aniline,none,none,EtOH,r.t.,24,Zn(OTf)2,13,37,no
19,aniline,F,para,EtOH,r.t.,12,Zn(OTf)2,20,75,no
20,aniline,Cl,meta,EtOH,r.t.,14,Zn(OTf)2,10,26,yes
21,aniline,Cl,para,EtOH,r.t.,4,Zn(OTf)2,10,60,no
22,aniline,Br,meta,EtOH,r.t.,8,Zn(OTf)2,10,64,no
23,aniline,Br,para,EtOH,r.t.,1,Zn(OTf)2,10,66,no
24,aniline,OH,para,EtOH,r.t.,24,none,0,44,no
25,aniline,OH,meta,EtOH,0C_to_rt,24,none,0,54,no
26,aniline,OH,para,EtOH,0C_to_rt,12,none,0,45,yes
27,aniline,OMe,ortho,EtOH,r.t.,24,Zn(OTf)2,13,18,yes
28,aniline,OMe,para,EtOH,r.t.,24,Zn(OTf)2,13,94,yes
29,aniline,OMe,meta,EtOH,r.t.,36,Zn(OTf)2,13,49,no
30,aniline,tolyl,para,EtOH,r.t.,50,none,0,29,no
31,aniline,tolyl,meta,EtOH,r.t.,48,none,0,89,no
32,aniline,tolyl,ortho,EtOH,r.t.,12,none,0,75,no
33,aniline,CF3,para,EtOH,r.t.,10,none,0,54,no
34,aniline,CF3,meta,EtOH,r.t.,40,Zn(OTf)2,20,48,no
35,aniline,Cl,ortho,EtOH,r.t.,48,Zn(OTf)2,10,38,yes
36,benzylamine,Cl,ortho,EtOH,r.t.,48,none,0,25,yes
37,benzylamine,Cl,para,EtOH,reflux,24,none,0,99,yes
38,benzylamine,Br,ortho,EtOH,r.t.,4,none,0,34,yes
39,benzylamine,Br,para,EtOH,0C_to_rt,5,none,0,57,yes
40,benzylamine,Br,meta,EtOH,r.t.,24,none,0,41,yes
41,benzylamine,Br,para,EtOH,r.t.,24,none,0,91,yes
42,aniline,OH,ortho,EtOH,reflux,6,Zn(OTf)2,20,31,yes
43,benzylamine,fused_ring,none,EtOH,reflux,5,none,0,48,yes
FAILED,aniline,Cl,ortho,EtOH,reflux,48,Zn(OTf)2,20,0,no
FAILED,aniline,Br,ortho,EtOH,reflux,48,Zn(OTf)2,20,0,no
FAILED,heterocyclic,piperazine,none,EtOH,r.t.,24,none,0,0,no
P2-24,heterocyclic,pyrrolidine,none,EtOH,r.t.,24,none,0,10,no
P2-29,heterocyclic,azetidine,none,EtOH,r.t.,5,none,0,40,yes
P2-30,heterocyclic,piperidine,none,EtOH,r.t.,16,Zn(OTf)2,20,54,no
P2-31,heterocyclic,azepane,none,EtOH,reflux,7,none,0,21,yes
P2-32,heterocyclic,thiazolidine,none,EtOH,r.t.,4,none,0,21,yes
P2-33,heterocyclic,morpholine,none,EtOH,r.t.,24,none,0,72,no
P2-34,heterocyclic,dimethylmorpholine,none,EtOH,r.t.,48,none,0,76,yes
P2-35,heterocyclic,thiomorpholine,none,EtOH,reflux,3.5,none,0,95,no
P2-36,heterocyclic,thiomorpholine_dioxide,none,EtOH,reflux,24,none,0,27,yes
P2-37,heterocyclic,boc_piperazine,none,EtOH,r.t.,4,none,0,73,yes
P2-38,heterocyclic,boc_dimethylpiperazine,none,EtOH,r.t.,15,none,0,59,yes
P2-39,heterocyclic,bromo_tetrahydroquinoline,none,EtOH,r.t.,6,none,0,21,yes
P3-13a,aniline,none,none,EtOH,r.t.,unknown,none,0,88,no
P3-13b,benzylamine,none,none,EtOH,r.t.,unknown,none,0,92,no
P3-13c,aniline,Br,para,EtOH,r.t.,unknown,none,0,84,no
P3-14a,bis_squaramide_methylation,aniline,none,DMF,r.t.,unknown,KOtBu,0,37,no
P3-14b,bis_squaramide_methylation,benzylamine,none,DMF,r.t.,unknown,KOtBu,0,71,no
P3-14c,bis_squaramide_methylation,bromoaniline,none,DMF,r.t.,unknown,KOtBu,0,57,no
P3-15,bis_squaramide_benzylation,bromoaniline,para,DMF,r.t.,unknown,KOtBu,0,10,yes
P3-17a,fused_bicycle,diisopropyl_diamine,none,EtOH,unknown,unknown,none,0,66,yes
P3-17b,fused_bicycle,dimethyl_diamine,none,EtOH,unknown,unknown,none,0,50,yes
